amp_mean,amp_std,amp_max,amp_min,amp_range,amp_median,amp_iqr,amp_energy,vel_mean,vel_std,vel_max,vel_min,vel_range,vel_energy,zero_crossing_rate,signal_energy,signal_entropy,label,file_name,original_length,processed_length
0.46208962457662717,0.3112429760826871,1.0,0.0,1.0,0.5225325445687138,0.6381231582122703,545.0606638466218,0.0001102289443051233,0.05315896485738545,0.13363215126013278,-0.15519470605446517,0.28882685731459795,4.962258792646356,0.04783599088838269,545.0606638466218,2.762483890182876,left,Amplitude.txt,1756,1756
0.5004608989301847,0.28887397377778473,1.0,0.0,1.0,0.5011117287381899,0.4995827777928966,586.3447028518145,0.0005697926334675932,4.270379840567238e-05,0.0010041838835613548,0.0004625724470082304,0.0005416114365531244,0.0005733116277736762,0.0005694760820045558,586.3447028518145,2.995611028638948,left,Time.txt,1756,1756
0.5160203616801255,0.218672574867256,1.0,0.0,1.0,0.525081217218593,0.216589153047046,551.2362137115736,5.5248317607811514e-05,0.05961762488884141,0.15601332608895552,-0.15269504337761358,0.3087083694665691,6.237733758334418,0.10541310541310542,551.2362137115736,2.72683608815006,left,Velocity.txt,1755,1755
0.5748345314052563,0.3764194726924234,1.0,0.0,1.0,0.7176130447010887,0.8172816177261831,849.8274442522967,-3.0552509212815667e-05,0.06019403177862904,0.16558034309000402,-0.16297849318267893,0.32855883627268295,6.52198031140036,0.03888888888888889,849.8274442522967,2.531617633670278,left,Amplitude.txt,1800,1800
0.5000000000000021,0.2888355542429804,1.0,0.0,1.0,0.5000000000000021,0.500000000000002,600.1667593107331,0.000555864369093941,6.94869857833128e-17,0.0005558643690940501,0.0005558643690922738,1.7763568394002505e-15,0.0005561733542907691,0.0005555555555555556,600.1667593107331,2.9957322735339904,left,Time.txt,1800,1800
0.49079166315730743,0.2448138450817927,1.0,0.0,1.0,0.4579854183599129,0.24462992656639237,541.1576853878378,0.00026616092694613306,0.05409604398344487,0.1829303340752748,-0.18396245220764382,0.3668927862829186,5.264688616519804,0.0678154530294608,541.1576853878378,2.7295885175329735,left,Velocity.txt,1799,1799
0.5062549407978302,0.33654105945424256,1.0,0.0,1.0,0.6654546942025522,0.7207878109616892,665.1971096054374,-0.0001380941029863221,0.04395615257815955,0.11884430501310361,-0.14722697297692208,0.2660712779900257,3.4778923550203,0.03222222222222222,665.1971096054374,2.4884663577607484,left,Amplitude.txt,1800,1800
0.5000000000000021,0.2888355542429804,1.0,0.0,1.0,0.5000000000000021,0.500000000000002,600.1667593107331,0.000555864369093941,6.94869857833128e-17,0.0005558643690940501,0.0005558643690922738,1.7763568394002505e-15,0.0005561733542907691,0.0005555555555555556,600.1667593107331,2.9957322735339904,left,Time.txt,1800,1800
0.5110303185847677,0.23303741672997316,1.0,0.0,1.0,0.49257354675433845,0.19664284830665774,567.5097049721418,0.00020568482763866485,0.04614057918572617,0.15723681230346376,-0.17171852922110437,0.3289553415245681,3.830062641562815,0.07726514730405781,567.5097049721418,2.649583395723062,left,Velocity.txt,1799,1799
0.43613743676289823,0.3152067453610545,0.9999999999999999,0.0,0.9999999999999999,0.4099609130412204,0.6397288712480109,521.2280809209956,-0.0002851622822916763,0.08478895092578534,0.14047972733616265,-0.1693377771280782,0.30981750446424083,12.940645529920456,0.085,521.2280809209956,2.868695520768666,left,Amplitude.txt,1800,1800
